MIAC Championships,Mark Greci,Saint John's University,28:25,111,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Scott Fusco,University Of St. Thomas,28:26,112,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Chris Folken,St. Olaf College,28:27,113,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Ross Anderson,Hamline University,28:28,114,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Dan Kremer,University Of St. Thomas,28:30,115,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Mike Roth,St. Olaf College,28:31,116,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,David Ohmann,Concordia College,28:32,117,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Bob Gerten,Saint John's University,28:35,118,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Adam Napolitano,St. Olaf College,28:35,119,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Ryan Peterson,Hamline University,28:35,120,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Connor Jackson,Carleton College,28:36,121,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Tom Sigwalt,Saint Mary's University,28:37,122,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Andreas Rekdahl,Concordia College,28:39,123,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Ollie St John,Macalester College,28:41,124,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Ian Nystrom,St. Olaf College,28:41,125,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Alex Weberg,Macalester College,28:42,126,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Duncan Secor,Saint John's University,28:42,127,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Scott Dick,Saint John's University,28:43,128,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Steven Donahue,Saint John's University,28:43,129,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Colin Sheehan,Saint Mary's University,28:43,130,2011,"Como Park Golf Course, St. Paul"
